fraud_uri,fraud_label,fraud_label_matched,gao_uri,gao_label,similarity_score,fraud_parents
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phramacist,pharmacist,pharmacist,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131035,pharmacists,0.952,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phramacist,pharmacist,pharmacist,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131033,pharmacies,0.9,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Phramacist,pharmacist,pharmacist,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131038,pharmacy,0.778,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Physician,physician,physician,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131067,physicians,0.947,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Physician,physician,physician,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131068,physicians fees,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Physician,physician,physician,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131069,physics,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/HealthProfessionals
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PlaceOfBirth,place of birth,place of birth,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/124386,date of birth,0.815,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PersonallyIdentifiableInformation
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PollutionCrime,pollution crime,pollution crime,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131163,pollution control,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/EnvironmentalFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PollutionCrime,pollution crime,pollution crime,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131162,pollution,0.75,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/EnvironmentalFraud
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PonziScheme,Ponzi scheme,Ponzi scheme,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/135403,Ponzi schemes,0.96,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/Scam
https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/PreExistingConditionFalsification,pre-existing condition falsification,pre-existing condition falsification,https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131256,preexisting conditions,0.772,https://gaoinnovations.gov/antifraud_resource/howfraudworks/gfo/employmentFraudMechanism
