uri,label,all_labels
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121547,Afghanistan reconstruction,Afghanistan reconstruction
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121548,Afghanistan security,Afghanistan security
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121705,aid to Haiti,aid to Haiti
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/121704,aid to El Salvador,aid to El Salvador
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123025,career development programs,career development programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123132,CETA programs,CETA programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/123583,community work experience programs,community work experience programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/132240,school-to-work transition programs,school-to-work transition programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/126556,food assistance programs,food assistance programs
https://poolparty.clstaxonomy.com/GAOProductTaxonomyMain/131912,rental assistance,rental assistance
